Name,Code,Type,SubBasin,City,State,Responsible,Latitude,Longitude,StartDate,EndDate,NYD,MD,N_YWOMD,YWMD
CAICÓ,00637039,2,37,CAICÓ,RIO GRANDE DO NORTE,ANA,-6.4511,-37.0906,1986/10/01,2019/11/30,34,1.8,26,23.5
BOM SUCESSO,00637040,2,37,BOM JESUS,PARAÍBA,AESA-PB,-6.45,-37.9333,1994/01/01,2018/12/31,25,0.7,24,4.0
PAULISTA,00637041,2,37,PAULISTA,PARAÍBA,AESA-PB,-6.6,-37.6333,1994/01/01,2018/08/31,25,2.4,20,20.0
LAGOA,00637043,2,37,LAGOA,PARAÍBA,AESA-PB,-6.6,-37.9167,1994/01/01,2018/12/31,25,0.0,25,0.0
RIACHO DOS CAVALOS,00637044,2,37,RIACHO DOS CAVALOS,PARAÍBA,AESA-PB,-6.45,-37.65,1994/01/01,2017/05/31,24,0.0,23,4.2
SÃO BENTO,00637045,2,37,SÃO BENTO,PARAÍBA,AESA-PB,-6.4833,-37.45,1994/01/01,2018/12/31,25,0.7,23,8.0
SERRA NEGRA DO NORTE,00637049,2,37,SERRA NEGRA DO NORT,RIO GRANDE DO NORTE,ANA,-6.6653,-37.4014,2004/10/14,2019/11/30,16,0.0,14,12.5
CATOLÉ DO ROCHA - ESCOLA TÉCNICA,00637066,2,37,CATOLÉ DO ROCHA,PARAÍBA,AESA-PB,-6.3519,-37.7239,1994/09/01,2018/12/31,25,8.6,20,20.0
SÃO JOSÉ DO BREJO DA CRUZ,00637068,2,37,SÃO JOSÉ DO BREJO D,PARAÍBA,AESA-PB,-6.2133,-37.3514,1998/09/01,2018/11/30,21,1.6,18,14.3
MATO GROSSO,00637069,2,37,MATO GROSSO,PARAÍBA,AESA-PB,-6.5433,-37.7164,2004/10/01,2018/12/31,15,0.0,14,6.7
SÃO DOMINGOS DE POMBAL,00637070,2,37,SÃO DOMINGOS DE POM,PARAÍBA,AESA-PB,-6.815,-37.9414,2001/01/01,2017/04/30,17,0.0,16,5.9
SÃO BENTINHO,00637071,2,37,SÃO BENTINHO (EX SÃ,PARAÍBA,AESA-PB,-6.8889,-37.7278,2000/07/01,2018/12/31,19,0.0,18,5.3
JARDIM DE PIRANHAS_Av. Governador Dix-Sept,00637072,2,37,JARDIM DE PIRANHAS,RIO GRANDE DO NORTE,CEMADEN,-6.381,-37.351,1994/01/01,2018/12/31,25,0.0,25,0.0
PATÚ_Rua Antônio de Lima,00637073,2,37,PATÚ,RIO GRANDE DO NORTE,CEMADEN,-6.1119,-37.6381,1994/01/01,2018/12/31,25,0.0,25,0.0
PAU FERRADO,00637074,2,37,POMBAL,PARAÍBA,ANA,-6.9658,-37.9242,1994/01/01,2018/12/31,25,0.3,24,4.0
SÍTIO CURRALINHO,00637075,2,37,PAULISTA,PARAÍBA,ANA,-6.5803,-37.6058,2000/02/01,2018/04/30,19,4.1,16,15.8
CATOLÉ DO ROCHA,00637076,2,37,CATOLÉ DO ROCHA,PARAÍBA,AESA-PB,-6.3439,-37.7467,1994/01/01,2018/05/31,25,0.0,24,4.0
CONDADO,00637077,2,37,CONDADO,PARAÍBA,AESA-PB,-6.9231,-37.5947,1994/01/01,2018/12/31,25,0.0,25,0.0
JERICÓ,00637078,2,37,JERICÓ,PARAÍBA,AESA-PB,-6.55,-37.8,1994/01/01,2018/11/30,25,0.3,23,8.0
MALTA,00637079,2,37,MALTA,PARAÍBA,AESA-PB,-6.9033,-37.5197,1994/01/01,2018/12/31,25,0.0,25,0.0
SÃO JOSÉ DE ESPINHARAS,00637080,2,37,SÃO JOSÉ DE ESPINHA,PARAÍBA,AESA-PB,-6.8481,-37.3264,1994/01/01,2016/11/30,23,4.4,19,17.4
